Graph Name,Source,Captive,Edge_weight,Interaction_type,Data_collection,Species,Data_duration_days,Mammal?,Time_resolution_secs,Citation
aves_weaver_social_13,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_14,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_15,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_16,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_17,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_18,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_19,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_20,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_21,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_22,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_wildbird_network_1,NR,No,half_weight_index,Social_projection_bipartite,RFID,NA,6,No,Very_fine,"Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
aves_wildbird_network_2,NR,No,half_weight_index,Social_projection_bipartite,RFID,NA,6,No,Very_fine,"Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
aves_wildbird_network_3,NR,No,half_weight_index,Social_projection_bipartite,RFID,NA,6,No,Very_fine,"Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
aves_wildbird_network_4,NR,No,half_weight_index,Social_projection_bipartite,RFID,NA,6,No,Very_fine,"Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
aves_wildbird_network_5,NR,No,half_weight_index,Social_projection_bipartite,RFID,NA,6,No,Very_fine,"Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
aves_wildbird_network_6,NR,No,half_weight_index,Social_projection_bipartite,RFID,NA,6,No,Very_fine,"Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
aves_wildbird_network,NR,No,half_weight_index,Social_projection_bipartite,RFID,NA,6,No,Very_fine,"Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
fish_guppy_familiar_1,NR,Yes,Frequency,Spatial_proximity,video,Poecilia_reticulata,0.0625,No,Very_fine,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity affects network structure and information flow in guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): arw152."
fish_guppy_familiar_10,NR,Yes,Frequency,Spatial_proximity,video,Poecilia_reticulata,0.0625,No,Very_fine,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity affects network structure and information flow in guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): arw152."
fish_guppy_familiar_2,NR,Yes,Frequency,Spatial_proximity,video,Poecilia_reticulata,0.0625,No,Very_fine,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity affects network structure and information flow in guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): arw152."
fish_guppy_familiar_4,NR,Yes,Frequency,Spatial_proximity,video,Poecilia_reticulata,0.0625,No,Very_fine,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity affects network structure and information flow in guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): arw152."
fish_guppy_familiar_5,NR,Yes,Frequency,Spatial_proximity,video,Poecilia_reticulata,0.0625,No,Very_fine,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity affects network structure and information flow in guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): arw152."
fish_guppy_familiar_6,NR,Yes,Frequency,Spatial_proximity,video,Poecilia_reticulata,0.0625,No,Very_fine,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity affects network structure and information flow in guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): arw152."
fish_guppy_familiar_7,NR,Yes,Frequency,Spatial_proximity,video,Poecilia_reticulata,0.0625,No,Very_fine,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity affects network structure and information flow in guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): arw152."
fish_guppy_familiar_8,NR,Yes,Frequency,Spatial_proximity,video,Poecilia_reticulata,0.0625,No,Very_fine,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity affects network structure and information flow in guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): arw152."
fish_guppy_familiar_9,NR,Yes,Frequency,Spatial_proximity,video,Poecilia_reticulata,0.0625,No,Very_fine,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity affects network structure and information flow in guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): arw152."
fish_stickleback_group_1,NR,Yes,Frequency,Group_membership,video,Gasterosteus_aculeatus,0.0833,No,Fine,"Atton, N., et al. ""Familiarity affects social network structure and discovery of prey patch locations in foraging stickleback shoals."" Proceedings of the Royal Society of London B: Biological Sciences 281.1789 (2014): 20140579."
fish_stickleback_group_2,NR,Yes,Frequency,Group_membership,video,Gasterosteus_aculeatus,0.0833,No,Fine,"Atton, N., et al. ""Familiarity affects social network structure and discovery of prey patch locations in foraging stickleback shoals."" Proceedings of the Royal Society of London B: Biological Sciences 281.1789 (2014): 20140579."
fish_stickleback_group_3,NR,Yes,Frequency,Group_membership,video,Gasterosteus_aculeatus,0.0833,No,Fine,"Atton, N., et al. ""Familiarity affects social network structure and discovery of prey patch locations in foraging stickleback shoals."" Proceedings of the Royal Society of London B: Biological Sciences 281.1789 (2014): 20140579."
fish_stickleback_group_4,NR,Yes,Frequency,Group_membership,video,Gasterosteus_aculeatus,0.0833,No,Fine,"Atton, N., et al. ""Familiarity affects social network structure and discovery of prey patch locations in foraging stickleback shoals."" Proceedings of the Royal Society of London B: Biological Sciences 281.1789 (2014): 20140579."
fish_stickleback_group_5,NR,Yes,Frequency,Group_membership,video,Gasterosteus_aculeatus,0.0833,No,Fine,"Atton, N., et al. ""Familiarity affects social network structure and discovery of prey patch locations in foraging stickleback shoals."" Proceedings of the Royal Society of London B: Biological Sciences 281.1789 (2014): 20140579."
fish_stickleback_group_6,NR,Yes,Frequency,Group_membership,video,Gasterosteus_aculeatus,0.0833,No,Fine,"Atton, N., et al. ""Familiarity affects social network structure and discovery of prey patch locations in foraging stickleback shoals."" Proceedings of the Royal Society of London B: Biological Sciences 281.1789 (2014): 20140579."
fish_stickleback_group_7,NR,Yes,Frequency,Group_membership,video,Gasterosteus_aculeatus,0.0833,No,Fine,"Atton, N., et al. ""Familiarity affects social network structure and discovery of prey patch locations in foraging stickleback shoals."" Proceedings of the Royal Society of London B: Biological Sciences 281.1789 (2014): 20140579."
insecta_ant_colony1_day01,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day02,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day03,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day04,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day05,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day06,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day07,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day08,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day09,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day10,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day11,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day12,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day13,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day14,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day15,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day16,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day17,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day18,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day19,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day20,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day21,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day22,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day23,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day24,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day25,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day26,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day27,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day28,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day29,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day30,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day31,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day32,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day33,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day34,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day35,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day36,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day37,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day38,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day39,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day40,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1_day41,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony1,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,41,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
insecta_ant_colony2_day01,NR,Yes,Frequency,Physical_contact,video,Camponotus_fellah,1,No,Very_fine,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090_1093."
